"{21,26,27,30,29,25,24,84,23,28}",617
"{11,12,13,2,8,35,43,36,37,3,45,6,7,18,21,17,16,15,24,25,26,27,28,29,30,31,44,38,39,40,41,42,23,14,84}",116
"{64,84,56}",477
"{29,30,25,24,38,27,28,26,55,11,12,13,14,10,9,7,6,5,4,84}",550
"{33,34,31,35,57,62,84}",51
"{58,73,20,57,63,61,60,59,48,47,49,84,91,74,79,76,77,90,75,55,62}",70
"{33,35,34,36,37,38,84}",554
"{28,26,27,14,38,21,2,3,6,8,11,12,13,7,39,44,40,42,41,43,55,59,23,29,30,24,25,58,63,37,84}",386
"{24,25,58,5,4,6,11,12,13,8,28,26,27,22,23,32,55,57,9,10,7,29,30,84}",426
"{5,13,9,10,7,22,23,29,55,58,63,84,4,6,11,12,30,24,25,28,26,27,14}",406
"{47,49,20,58,63,61,60,84}",433
"{14,38,55,58,60,63,59,3,2,6,11,12,13,8,9,10,7,21,84,23,29,30,24,25,28,26,27,39,40,43,44,41,42}",299
"{36,55,58,63,60,59,57,62,48,34,33,35,84}",176
"{21,23,24,25,26,27,28,29,30,39,40,41,42,43,44,84}",605
"{45,38,31,33,34,39,40,41,42,43,44,20,35,57,62,47,84,74,80,76,79}",345
"{84}",437
"{21,36,38,63,55,58,57,59,48,84}",417
"{7,9,10,32,59,57,29,30,25,24,27,26,28,23,22,84,13,14,11,12}",475
"{22,23,30,29,24,25,57,32,59,38,84,26,27,28}",470
"{30,29,4,5,6,7,9,10,11,12,13,55,58,57,22,28,27,26,25,24,23,14,84}",482
"{21,23,24,28,29,30,44,55,58,63,60,7,9,4,5,6,39,25,26,27,10,11,12,13,14,40,41,42,84,43}",500
"{84}",173
"{43,44,21,23,29,30,24,25,28,26,27,39,40,58,41,42,63,84}",478
"{84}",103
"{55,65,66,71,63,60,61,58,67,64,41,48,68,59,69,72,84}",502
"{39,40,43,55,58,63,60,57,59,44,41,42,84}",280
"{8,2,3,6,21,23,28,29,30,37,31,55,58,63,60,59,57,84}",189
"{33,34,36,2,3,6,7,8,11,12,13,14,38,39,40,41,42,43,44,55,58,63,60,59,57,62,47,48,84}",121
"{15,16,18,17,56,84,88}",88
"{5,4,13,8,9,10,7,22,23,29,30,24,25,28,26,27,38,14,55,58,63,59,84,88,6,11,12}",420
"{39,40,45,44,41,42,43,56,84}",188
"{44,43,42,41,40,39,64,11,12,13,14,21,30,32,55,58,63,60,59,37,38,2,3,6,7,8,9,10,23,84,87,88,24,25,26,27,28,29}",240
"{31,33,34,35,57,84,62}",43
"{39,40,37,38,41,42,43,44,84,87}",525
"{29,30}",717
"{29,30,31,37,38,2,3,6,8,11,12,7,14,44,43,40,39,41,42,13,21,23,24,25,26,27,28,55,58,63,60,59,84,88,57}",120
"{73,84,74,75,79,78,76,77}",15
"{43}",578
"{84}",210
"{4,5,6,7,9,10,11,12,13,22,64,25,29,30,38,23,55,63,58,39,44,43,42,41,40,14,24,26,27,28,84}",440
"{44,36,39,41,16,45,15,18,17,40,42,43,20,49,84}",48
"{21,31,37,55,58,63,60,84}",468
"{14,13,12,11,32,59,57,24,25,26,27,28,29,30,22,23,84}",506
"{16,17,18,55,58,63,60,59,48,62,84}",242
"{37,23,3,2,6,11,12,29,30,24,25,28,26,27,39,40,43,44,41,42,31,14,38,55,58,57,63,60,59,36,13,8,84,89,87,7,21}",251
"{73,74,84,79,75,92,91,90,77,76}",5
"{31,3,2,8,7,6,11,12,13,21,14,23,24,25,26,55,63,58,60,59,84,27,28,29,30,37,38}",366
"{6,7,8,11,12,13,14,23,24,25,26,27,28,29,30,37,31,2,3,38,21,55,58,63,60,59,84}",427
"{11,38,12,13,14,55,9,10,7,4,6,5,84}",546
"{39,40,43,44,20,24,25,26,27,28,29,30,41,42,47,58,63,61,60,84}",179
"{73,84,90,91,92,74,75,79,76,77}",4
"{40,15,16,17,20,36,56,84,41,44,42,39,43}",361
"{22,23,24,25,26,27,28,29,30,13,12,11,38,7,9,10,4,5,6,57,58,63,32,84}",466
"{3,2,6,39,41,40,42,43,44,33,34,35,31,11,12,13,8,7,21,23,37,29,14,38,30,24,25,28,55,58,57,60,63,59,26,27,84}",201
"{6,7,11,12,13,14,23,24,25,26,27,28,29,30,2,8,31,58,63,55,3,37,38,21,39,41,40,43,42,44,84}",402
"{22,23,24,27,38,25,26,28,29,30,58,63,59,7,9,10,11,12,13,14,6,5,4,84}",472
"{22,23,29,30,24,25,28,26,27,84}",444
"{22,23,24,25,26,27,28,29,30,84}",446
"{33,34,31,35,57,62,84,80}",31
"{10,7,14,38,5,4,6,11,12,13,9,55,59,84}",363
"{3,2,6,11,12,13,7,10,9,8,39,44,40,41,42,43,14,55,22,23,24,25,26,27,28,29,30,84,87,88}",467
"{20,73,84,90,91,64,44,43,40,39,41,42}",285
"{84,74,75,79,78,77,73}",14
"{45}",581
"{32,58,28,29,24,25,30,26,27,22,23,84,89}",523
"{72,83,82,73,74,75,84,92,91,90,80,76,77,79}",13
"{55,58,63,60,59,48,84}",133
"{5,4,6,11,12,13,9,10,14,29,30,24,25,28,26,7,22,23,27,55,58,63,84}",391
"{84,87}",458
"{8,7,21,36,48,55,58,63,60,59,61,47,84}",195
"{5,4,6,11,12,13,9,10,7,22,23,29,30,24,25,28,26,27,14,55,58,63,84}",368
"{4,28,26,27,39,40,43,44,63,6,11,41,42,32,14,38,5,12,13,9,57,55,58,84,89,10,7,22,23,37,29,30,24,25}",246
"{2,3,22,23,24,25,26,27,28,29,30,31,8,6,7,11,12,13,14,38,58,63,59,57,55,84}",372
"{55,56,58,59,84}",166
"{10,7,21,23,29,30,3,2,6,11,12,13,55,60,59,63,36,24,25,28,26,27,39,40,43,44,41,42,14,38,87,84,8,9,58}",243
"{2,3,21,6,7,11,12,13,8,14,23,84,87,24,25,26,27,28,29,30,37,39,40,41,42,43,44,55,58,63,60}",344
"{5,25,55,27,32,14,38,13,9,10,22,23,29,4,6,11,12,28,26,7,30,24,58,63,57,84,59}",410
