"{18,3,2,5,4,15,17,16,6,11,12,13,8,9,10,7,20,21,22,23,37,29,30,24,25,28,26,27,39,40,43,44,41,42,31,32,14,45,36,38,35,55,56,58,63,61,60,59,48,47,49,62,57,33,34}","55","175"
"{2,3,5,4,15,17,16,21,22,37,20,36,11,7,12,13,8,23,29,25,14,27,28,26,30,24,38,41,43,40,39,44,6,9,10,42,34,33,31,35,18,56,47,49,63,61,62,59,58,60,57,32,48,55}","54","24"
"{3,2,5,4,15,17,16,6,11,12,13,8,9,10,7,20,21,22,23,37,29,30,24,25,28,26,27,39,40,43,44,41,42,31,32,14,36,38,33,34,35,57,62,48,47,49,59,60,63,58,56,55,45,61}","54","72"
"{18,3,2,5,4,15,17,16,6,11,12,13,8,9,10,7,20,21,22,23,37,29,30,24,25,28,26,27,39,40,43,44,41,42,31,32,14,34,33,36,38,35,55,56,58,63,60,59,61,57,62,48,47,49}","54","71"
"{8,3,2,5,4,15,17,16,6,11,12,13,9,10,7,20,21,22,23,37,29,30,24,25,28,26,27,39,40,43,44,41,42,14,36,38,55,56,58,63,61,60,59,48,47,49,73,74,75,76,77,79,78}","53","59"
"{3,2,5,4,15,17,16,6,11,12,13,8,9,10,7,20,21,22,23,37,29,30,24,25,28,26,27,39,40,43,44,41,42,31,32,14,45,34,33,36,38,35,55,56,58,63,60,59,57,62,48,47,49}","53","173"
"{3,2,5,4,6,11,12,13,8,9,10,7,20,21,22,23,37,49,47,59,29,30,24,25,28,26,27,39,40,43,44,41,42,31,32,14,36,38,15,16,17,18,58,61,60,45,55,56,63,48,57,62}","52","174"
"{3,2,5,4,6,21,22,23,37,14,12,13,8,9,10,7,20,29,30,24,25,28,26,27,56,49,55,58,63,61,60,59,57,62,48,47,11,39,40,43,44,41,42,31,32,45,34,33,36,38,35}","51","160"
"{3,2,5,4,6,11,12,13,8,9,10,7,20,21,22,23,37,29,30,24,25,28,26,27,39,40,43,44,41,42,32,14,36,38,18,15,17,31,49,47,48,62,57,59,60,61,58,63,56,55,16}","51","48"
"{45,3,2,5,4,6,11,12,13,8,9,10,7,21,22,23,37,29,30,24,25,28,17,16,20,15,26,27,39,40,43,44,41,42,31,32,14,36,38,55,56,58,63,61,60,59,57,62,48,47,49}","51","124"
"{20,3,2,5,4,15,17,16,11,12,13,8,9,10,7,21,22,23,37,29,30,24,25,28,26,27,31,32,14,45,38,36,40,6,42,41,44,43,39,57,55,56,58,63,61,59,60,48,47,62}","50","58"
"{2,6,8,12,7,11,13,20,5,4,15,17,16,21,22,24,25,26,27,23,28,29,37,39,40,41,42,44,43,9,10,3,31,30,14,36,32,38,55,56,58,63,61,60,59,48,47,49,57,62}","50","70"
"{5,4,6,11,12,13,8,9,10,7,22,23,37,29,30,24,25,28,26,27,31,32,14,38,45,15,17,39,40,16,18,44,41,42,36,3,2,21,43,55,58,56,63,60,59,57,62,48,47}","49","188"
"{3,2,5,4,6,11,12,13,8,9,10,7,21,22,23,20,24,25,26,27,28,29,30,37,39,40,32,14,31,36,38,41,42,43,44,33,34,35,55,58,63,61,60,59,57,62,48,47,49}","49","39"
